rbd,NOM_RBD,RURAL_RBD,cupos_totales,vacantes,ponderacion
799,COLEGIO REPUBLICA DE CHILE,0,803,298,0.371
560,COLEGIO QUEBRADA DE TALCA,1,260,97,0.373
905,ESCUELA CHALINGA,1,115,43,0.374
13560,ESCUELA PADRE ALBERTO HURTADO CRUCHAGA,0,320,120,0.375
681,ESCUELA DE EL ARENAL,1,32,12,0.375
716,ESC.PADRE JOSEPH BENEDIKT STEGMEIER,0,545,207,0.38
13426,COLEGIO SAN LUCAS,0,255,97,0.38
13494,ESCUELA BASICA LA VILLA,0,430,164,0.381
688,ESCUELA DE CHAPILCA,1,34,13,0.382
947,ESCUELA AURORA DE CHILE,1,240,92,0.383
718,ESCUELA MARCOS MACUADA OGALDE,0,240,92,0.383
990,ESCUELA PARTICULAR LAS CANAS,1,305,117,0.384
737,ESCUELA BASICA VALENTIN LETELIER,1,230,89,0.387
561,COLEGIO EL ROMERAL,1,31,12,0.387
924,ESCUELA LOS ACACIOS,1,67,26,0.388
13637,COLEGIO HELLEN KELLER PEÑUELAS,0,324,127,0.392
625,ESCUELA TOMASA OLIVARES CAAMANO,0,260,102,0.392
634,ESCUELA DE HUACHALALUME,1,56,22,0.393
715,ESCUELA BASICA BERNARDO O¦HIGGINS RIQUELME,0,315,124,0.394
13394,CORAZON DE JESUS,0,420,166,0.395
522,COLEGIO JAVIERA CARRERA,0,654,259,0.396
774,COLEGIO PICHASCA,1,391,155,0.396
725,ESCUELA EL CRISOL,1,234,93,0.397
976,ESCUELA BASICA LAS PALMERAS DE LIMAHUIDA,1,180,72,0.4
678,ESCUELA AMELIA BARAHONA MUJICA,1,52,21,0.404
13341,COLEGIO PART. KOMVUX - COQUIMBO,0,356,144,0.404
614,ESCUELA PRESIDENTE ANIBAL PINTO,0,410,166,0.405
1051,ESCUELA BASICA TERESA CANNON DE B.,1,437,177,0.405
31221,COLEGIO RUKALAF,0,408,167,0.409
722,ESC. HEBERTO VELAZQUEZ VELAZQUEZ,0,344,141,0.41
932,ESCUELA UNION CAMPESINA,1,206,85,0.413
13606,COLEGIO LEONARDO DA VINCI - VICUÑA,0,1335,554,0.415
643,ESCUELA DE TAMBILLOS,1,200,83,0.415
635,ESCUELA DE TOTORALILLO,1,24,10,0.417
876,ESCUELA BASICA CLAUDIO MATTE,1,115,48,0.417
13358,ESCUELA JUAN RENDIC,1,275,115,0.418
523,ESCUELA ALONSO DE ERCILLA,0,330,139,0.421
639,ESCUELA DE LAS BARRANCAS,1,104,44,0.423
701,LICEO ESTELA AVILA DE PERRY,0,494,211,0.427
13576,LICEO TECNICO PROFESIONAL EDUCADOR JUAN BAUTISTA DE LA SALLE,0,470,202,0.43
747,ESCUELA CERRO TAMAYA,1,190,82,0.432
621,ESCUELA BASICA MARIO MUNOZ SILVA,0,298,129,0.433
780,ESCUELA BASICA TABAQUEROS,1,30,13,0.433
985,ESCUELA BASICA ASIENTO VIEJO,1,30,13,0.433
743,ESCUELA CARACHILLA,1,108,47,0.435
1059,ESCUELA CLARA VIAL ORREGO,1,225,98,0.436
935,ESCUELA SALALA,1,32,14,0.438
968,LICEO POLITECNICO PABLO RODRIGUEZ CAVIEDES,0,840,373,0.444
833,ESCUELA SANTA BERNARDITA,1,180,80,0.444
981,ESCUELA BASICA CHOAPA LINDO,1,18,8,0.444
1014,ESCUELA MATILDE SALAMANCA,0,535,238,0.445
13320,COLEGIO PARTICULAR TONGOY,0,105,47,0.448
837,ESCUELA ESPERANZA DE HUANA,1,125,56,0.448
693,ESCUELA BASICA HECTOR MANUEL HERNANDEZ,1,29,13,0.448
617,COLEGIO SANTA CECILIA,0,330,148,0.448
13512,COLEGIO JOAQUIN VICUÐA LARRAIN,0,430,195,0.453
730,ESCUELA BASICA LUCIA NUNEZ DE LA CUADRA,1,250,114,0.456
827,COLEGIO RIO GRANDE,0,364,166,0.456
556,ESCUELA DE ROMERO,1,285,130,0.456
518,LICEO TECNICO MARTA BRUNET,0,480,219,0.456
1019,ESCUELA BASICA CHILLEPIN,1,300,137,0.457
838,ESCUELA PROFESOR MANUEL ORTIZ QUINTANA,1,48,22,0.458
673,ESCUELA JOSE ABELARDO NUNEZ,0,270,124,0.459
669,ESCUELA NEFTALI REYES,0,269,124,0.461
543,COLEGIO ALTOVALSOL,1,288,133,0.462
656,LICEO PEDRO REGALADO S. VIDELA O.,0,372,173,0.465
868,ESCUELA AMERICA DE SUR,1,15,7,0.467
1020,ESCUELA BASICA GUISELA GAMBOA SALINAS,1,250,117,0.468
602,ESCUELA BASICA CARLOS CONDELL,1,248,117,0.472
516,LICEO GABRIELA MISTRAL DE LA SERENA,0,660,312,0.473
1100,ESC.BASICA CARLOS VIAL ESPANTOSO,1,150,71,0.473
896,ESCUELA PARTICULAR LA COLORADA,1,19,9,0.474
1052,ESCUELA BASICA PABLO BARRIOLHET,1,255,121,0.475
13463,COLEGIO CARLOS CONDELL DE LA HAZA,0,1020,484,0.475
608,ESCUELA DE LOS CHOROS,1,40,19,0.475
665,LICEO CARLOS ROBERTO MONDACA CORTES,0,652,311,0.477
817,ESCUELA NUEVA ESPERANZA DE PEJERREYES,1,23,11,0.478
937,ESCUELA ALCONES BAJOS,1,140,67,0.479
757,ESCUELA BASICA EL GUINDO,1,166,80,0.482
1055,ESCUELA LOS MAQUIS,1,29,14,0.483
11139,LICEO FERNANDO BINVIGNAT MARIN,0,720,349,0.485
657,ESCUELA LUIS CRUZ MARTINEZ,0,350,170,0.486
804,ESCUELA BASICA WENCESLAO VARGAS,1,336,165,0.491
13545,ESCUELA BASICA SAN FRANCISCO DE BORJA,0,480,238,0.496
733,ESCUELA PADRE DAMIAN HEREDIA,1,121,60,0.496
1063,ESCUELA,1,14,7,0.5
978,ESCUELA BASICA MATANCILLA,1,14,7,0.5
662,ESCUELA DE MAITENCILLO,1,20,10,0.5
13590,COLEGIO DE ADMINISTRACION Y COMERCIO EL INGENIO,0,620,314,0.506
1033,ESCUELA BASICA PANGUESILLO,1,150,76,0.507
542,ESCUELA DE LAMBERT,0,300,152,0.507
536,COLEGIO BERNARDA MORIN,0,293,150,0.512
848,ESCUELA ALEJANDRO CHELEN ROJAS,0,647,332,0.513
1072,ESCUELA PARTICULAR INFIERNILLO,1,60,31,0.517
13563,COLEGIO NUESTRA SEÑORA DEL ROSARIO,0,340,176,0.518
775,ESCUELA BASICA DE FUNDINA,1,27,14,0.519
790,ESCUELA BASICA EL ROMERAL,1,25,13,0.52
802,LICEO PRESIDENTE EDUARDO FREI MONTALVA,0,720,375,0.521
696,ESCUELA MUNICIPAL LA ORTIGA,1,23,12,0.522
892,ESCUELA PARTICULAR EL DURAZNO,1,59,31,0.525
11155,LICEO JORGE ALESSANDRI RODRIGUEZ,0,824,435,0.528
666,ESCUELA BASICA LUCILA GODOY ALCAYAGA,0,475,252,0.531
897,ESCUELA BELGICA,0,660,351,0.532
1016,ESCUELA TRANQUILLA,1,195,104,0.533
1096,ESCUELA BASICA LOS POZOS,1,15,8,0.533
814,ESCUELA BASICA EL TAYAN,1,30,16,0.533
551,ESCUELA DE LAS ROJAS,1,232,124,0.534
850,ESCUELA JUAN LUIS SAN FUENTES,1,74,40,0.541
13566,ESCUELA SAN LORENZO,0,255,138,0.541
604,ESCUELA DE PUNTA COLORADA,1,48,26,0.542
754,ESCUELA LA ARAUCANA,1,35,19,0.543
857,ESCUELA LOS MORALES,1,90,49,0.544
800,ESCUELA HUATULAME,0,308,168,0.545
871,ESCUELA BASICA LUIS ENRIQUE BOU PEREZ,1,55,30,0.545
1018,ESCUELA EL TAMBO,1,135,74,0.548
694,ESCUELA GABRIELA MISTRAL,1,204,112,0.549
793,ESCUELA BASICA DE SERON,1,100,55,0.55
13375,ESCUELA BASICA EL MEMBRILLO,1,20,11,0.55
803,ESC.CONCENTRACION FRONTERIZA DE TULAHUEN,0,370,204,0.551
599,ESCUELA JOSE SANTOS OSSA,1,192,106,0.552
13461,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,0,280,155,0.554
644,ESCUELA DE PUERTO ALDEA,1,57,32,0.561
540,ESCUELA DE ISLON,0,201,113,0.562
1065,ESCUELA BASICA EL MANZANO,1,16,9,0.562
929,ESCUELA LOS NOGALES,1,254,143,0.563
13333,ESC. FAMILIAR AGRICOLA VALLE DEL ELQUI,1,220,124,0.564
697,ESCUELA MUNICIPAL ALCOHUAZ,1,30,17,0.567
1104,ESCUELA LA CORTADERA,1,37,21,0.568
851,ESCUELA BASICA ARTURO PEREZ CANTO,1,195,111,0.569
1041,ESCUELA PARTICULAR CAJON DE QUELEN,1,52,30,0.577
1031,ESCUELA BASICA JULIO ECHAVARRIA,1,140,81,0.579
887,ESCUELA BASICA CAUPOLICAN,1,19,11,0.579
915,ESCUELA MARCOS RIGOBERTO PIZARRO ARAYA,1,150,87,0.58
839,ESCUELA CHILECITO,1,86,50,0.581
610,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,0,765,447,0.584
546,COLEGIO COQUIMBITO,0,300,176,0.587
13412,COLEGIO BASICO RENACER DE CERRILLOS,1,126,74,0.587
699,ESCUELA MARIA ISABEL PERALTA P.,1,22,13,0.591
676,ESCUELA DE SAN CARLOS,1,27,16,0.593
852,ESCUELA BASICA PEDRO DE VALDIVIA,1,170,102,0.6
805,ESCUELA EL MAQUI,1,30,18,0.6
825,ESCUELA BASICA PABLO NERUDA,1,18,11,0.611
819,ESCUELA BUENAVENTURA,1,18,11,0.611
756,ESCUELA SANTA CATALINA,1,36,22,0.611
940,ESCUELA SAN PEDRO,1,18,11,0.611
611,LICEO DIEGO PORTALES,0,430,263,0.612
40208,COLEGIO TECNICO PROFESIONAL ALTUE,0,436,267,0.612
849,ESCUELA BASICA JUANITA FERNANDEZ SOLAR,1,306,188,0.614
870,ESCUELA BASICA CAMILO HENRIQUEZ GONZALEZ,1,60,37,0.617
40029,LICEO MISTRALIANO,0,240,149,0.621
872,ESCUELA BASICA ROSITA OHIGGINS,1,24,15,0.625
683,ESCUELA DE LA CALERA,1,27,17,0.63
13379,ESCUELA BASICA CUMBRE DE LOS ANDES,1,30,19,0.633
830,ESCUELA MARCELA PAZ,1,30,19,0.633
723,ESCUELA VILLORRIO EL TALHUEN,1,30,19,0.633
910,ESC.BASICA SAN ANTONIO DE LA VILLA,1,96,61,0.635
680,ESCUELA FEDERICO BARNES PAYNE,0,190,121,0.637
11110,LICEO JORGE IRIBARREN CHARLIN DE HURTADO,1,105,67,0.638
977,ESCUELA BASICA GRACIELA DIAZ ALLENDE,1,170,109,0.641
822,ESCUELA JUNTAS,1,333,215,0.646
671,ESCUELA RIOS DE ELQUI,0,322,208,0.646
578,LICEO IGNACIO CARRERA PINTO,0,481,311,0.647
750,ESCUELA ELVIRA DEL CARMEN OCHOA AVILES,0,225,146,0.649
533,COLEGIO DARIO SALAS,0,80,52,0.65
813,ESCUELA BASICA LA UNION,1,20,13,0.65
773,ESCUELA SAMO ALTO,1,170,111,0.653
1004,ESCUELA PARTICULAR LA CAPILLA,1,26,17,0.654
784,ESCUELA BASICA HUAMPULLA,1,18,12,0.667
806,ESCUELA FRONTERA LAS RAMADAS,1,36,24,0.667
809,ESCUELA DE HUANILLA,1,24,16,0.667
943,ESCUELA PADRE PABLO DIEHL HARTMAN,1,21,14,0.667
638,ESCUELA DE CAMARONES,1,12,8,0.667
13365,ESCUELA BASICA MINILLAS,1,12,8,0.667
1017,ESCUELA BASICA BERTA HIDALGO BARAHONA,1,250,167,0.668
13423,ESCUELA BASICA AMANECER,1,140,96,0.686
1069,ESCUELA PARTICULAR MINA LAS VACAS,1,16,11,0.688
807,ESCUELA EL MAITEN,1,13,9,0.692
762,ESCUELA CALETA EL TORO,1,36,25,0.694
13579,COLEGIO SAN ISIDRO,1,23,16,0.696
835,ESCUELA CARMELA PRAT,1,30,21,0.7
695,ESCUELA BASICA SANTIAGO BUERAS A.,1,30,21,0.7
1034,ESCUELA LOS CORRALES,1,120,84,0.7
909,ESCUELA LOS AZAHARES DE CERRO BLANCO,1,30,21,0.7
11153,ESCUELA LA PARRITA,1,30,21,0.7
993,ESCUELA PARTICULAR CANELILLO ALTO,1,30,21,0.7
984,ESCUELA BASICA TUNGA SUR,1,17,12,0.706
988,LICEO PARTICULAR LUIS ALBERTO VERA,0,480,339,0.706
820,ESCUELA SOL DEL CUYANO,1,24,17,0.708
900,ESCUELA BASICA LA HIGUERA DE QUILE,1,24,17,0.708
554,ESCUELA DE PELICANA,1,24,17,0.708
1114,ESCUELA PARTICULAR EL CHILCAL,1,14,10,0.714
1046,ESCUELA PARTICULAR PLANTA PELADEROS,1,42,30,0.714
864,ESCUELA BASICA VIOLETA PARRA SANDOVAL,1,14,10,0.714
888,ESCUELA BASICA BOSQUE DE QUILLAY,1,25,18,0.72
810,ESCUELA CENTRAL HIDROELECTRICA LOS MOLLE,1,18,13,0.722
689,ESCUELA DE VARILLAR,1,36,26,0.722
1092,ESCUELA BASICA MINCHA NORTE,1,80,58,0.725
1022,ESCUELA COIRON,1,200,145,0.725
908,ESCUELA TABALI,1,284,206,0.725
564,COLEGIO LA ESTRELLA,1,26,19,0.731
795,ESC.BASICA DOMINGO SANTA MARIA GONZALEZ,1,15,11,0.733
736,ESCUELA BASICA LOS SOSSAS,1,30,22,0.733
960,ESCUELA PARTICULAR EL LLANITO,1,15,11,0.733
953,ESCUELA PATRICIO ZEBALLOS,1,150,110,0.733
659,ESCUELA PADRE BLAS HERNANDEZ SANCHEZ,1,30,22,0.733
844,ESCUELA PARTICULAR CERRILLOS DE RAPEL,1,27,20,0.741
823,ESCUELA BASICA COLLIGUAY,1,31,23,0.742
1006,ESCUELA MANUEL JOSE IRARRAZAVAL,1,160,119,0.744
1002,ESCUELA PARTICULAR EL SOCAVON,1,20,15,0.75
859,ESCUELA REBECA MATTE DE INIGUEZ,1,24,18,0.75
934,ESCUELA BEATRIZ VEGA VEGA,1,24,18,0.75
760,ESCUELA LAS LOMAS DE PUNILLA,1,29,22,0.759
13570,ESCUELA MUNICIPAL VILLA SANTA ROSA,0,200,153,0.765
1109,ESCUELA BASICA GABRIELA MISTRAL,1,30,23,0.767
1027,ESCUELA BASICA QUELEN BAJO,1,60,46,0.767
789,ESCUELA EL ESPINAL DE RIO HURTADO,1,30,23,0.767
1094,ESCUELA BASICA POZA HONDA,1,30,23,0.767
13380,ESCUELA BASICA MUNICIPAL LOS PERALES,1,30,23,0.767
777,ESC.BASICA HIJOS DE EL CHANAR,1,35,27,0.771
1047,ESCUELA PARTICULAR VALLE CAMISAS,1,35,27,0.771
998,ESCUELA PARTICULAR ILTA,1,22,17,0.773
902,ESCUELA BASICA ELENA CAFFARENA,1,22,17,0.773
869,ESCUELA BASICA REBECA PONCE DE LEON V.,1,27,21,0.778
1038,ESCUELA PARTICULAR EL PALQUIAL,1,18,14,0.778
879,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,1,32,25,0.781
931,ESCUELA SAN ANTONIO DE PADUA,1,23,18,0.783
731,ESCUELA EL TRAPICHE,1,181,142,0.785
786,ESCUELA BASICA LA HUERTA,1,14,11,0.786
945,ESCUELA SOL NACIENTE,1,94,74,0.787
1032,ESCUELA BASICA SAN AGUSTIN,1,104,82,0.788
746,ESCUELA EL SAUCE,1,24,19,0.792
1113,ESCUELA BASICA SALVADOR REYES,1,15,12,0.8
645,ESCUELA DE EL TANGUE,1,30,24,0.8
928,ESCUELA BASICA GRANEROS,1,20,16,0.8
758,ESCUELA CORDILLERA,1,30,24,0.8
1101,ESCUELA BASICA JOSE MIGUEL CARRERA,1,30,24,0.8
1045,ESCUELA PARTICULAR PUNTA NUEVA,1,30,24,0.8
13302,ESCUELA PARTICULAR CERRO BLANCO,1,30,24,0.8
787,ESCUELA BASICA MORRILLOS,1,20,16,0.8
752,ESCUELA VALLE HERMOSO,1,36,29,0.806
13445,COLEGIO ESPANOL,0,222,179,0.806
727,ESCUELA LA PALOMA,1,21,17,0.81
826,ESCUELA BASICA HACIENDA VALDIVIA,1,17,14,0.824
865,ESCUELA BASICA DANIEL BARROS GREZ,1,23,19,0.826
759,ESCUELA BASICA GASPAR CABRALES,1,75,62,0.827
1037,ESCUELA PARTICULAR HUANQUE,1,36,30,0.833
1068,ESCUELA PARTICULAR CULIMO,1,30,25,0.833
1083,ESCUELA BASICA CARQUINDANO,1,30,25,0.833
891,ESCUELA PARTICULAR RINCON DE LAS CHILCAS,1,18,15,0.833
783,ESCUELA DOCTOR JOSE LUIS ARRANO,1,30,25,0.833
936,ESCUELA EL ESPINAL,1,36,30,0.833
1040,ESCUELA PARTICULAR LAS JARILLAS,1,30,25,0.833
724,ESCUELA BASICA CALETA EL MAITEN,1,30,25,0.833
986,ESCUELA BASICA LAS CHINCHILLAS DE COCOU,1,24,20,0.833
843,ESCUELA LOS PERALES DE CAMPANARIO,1,12,10,0.833
13336,ESCUELA BASICA JOSE IGNACIO ZENTENO,1,18,15,0.833
797,ESCUELA LOS MAITENES DE SERON,1,30,25,0.833
13309,ESC. BASICA LA HIGUERA DE PUNITAQUI,1,30,25,0.833
824,ESCUELA HEROES DE CHILE,1,30,25,0.833
906,ESCUELA LOS CANELOS,1,30,25,0.833
818,ESCUELA LOS CLONQUIS,1,24,20,0.833
13363,ESCUELA BASICA MUNICIPAL LA GRANJITA,1,26,22,0.846
1099,ESCUELA VIOLETA PARRA,1,200,170,0.85
744,ESCUELA ORURO,1,34,29,0.853
862,ESCUELA ESTRELLA DE BELEN,1,14,12,0.857
1011,ESCUELA PARTICULAR MACUCO,1,14,12,0.857
778,ESCUELA BASICA LAS BREAS,1,36,31,0.861
32059,ESCUELA ECOLOGICA PEJERREYES,1,51,44,0.863
792,ESCUELA BASICA ESTANCIA EL SAUCE,1,22,19,0.864
1093,ESCUELA BASICA ATELCURA ALTA,1,30,26,0.867
999,ESCUELA PARTICULAR 18 DE SEPTIEMBRE,1,30,26,0.867
914,ESCUELA PENA BLANCA,1,30,26,0.867
1095,ESCUELA BASICA SARGENTO ALDEA,1,30,26,0.867
13362,ESCUELA BASICA LOS ANGELES DE RAPEL,1,30,26,0.867
933,ESCUELA LAS CRUCES,1,30,26,0.867
950,ESCUELA LA CEBADAS,1,30,26,0.867
11113,BASICA COMUN DELIA ANDRADE DE TELLO,1,30,26,0.867
1082,ESC.BASICA MERCEDES MARIN DEL SOLAR,1,30,26,0.867
899,ESCUELA LUZ DE LUNA,1,31,27,0.871
955,ESCUELA VILLA LOS CORRALES,1,31,27,0.871
956,ESCUELA PORTEZUELOS BLANCOS,1,31,27,0.871
995,ESCUELA PARTICULAR CAREN,1,190,166,0.874
890,ESCUELA PARTICULAR LOS SAPOS,1,24,21,0.875
728,ESCUELA EL ALGARROBO,1,24,21,0.875
816,ESCUELA GUSTAVO CONTRERAS CASTRO,1,24,21,0.875
1030,ESC.BASICA GUILLERMO BARRIOS VARGAS,1,120,105,0.875
994,ESCUELA PARTICULAR RINCON DEL ROMERO,1,24,21,0.875
776,ES.BAS.SAN PEDRO DE RIO HURTADO,1,26,23,0.885
836,ESCUELA INES DE SUAREZ,1,18,16,0.889
1076,ESCUELA PARTICULAR MAIMALICAN,1,18,16,0.889
925,ESCUELA BASICA VILLA LOS QUILES,1,27,24,0.889
886,ESCUELA LA VARIOLA,1,30,27,0.9
1061,ESCUELA TILAMA,1,30,27,0.9
923,ESCUELA EL MAQUI DE QUILE,1,30,27,0.9
726,ESCUELA QUEBRADA SECA DE SOTAQUI,1,30,27,0.9
957,ESCUELA EL CIENAGO,1,30,27,0.9
951,ESCUELA LA CALERA DE SAN JULIAN,1,30,27,0.9
904,ESCUELA CAMPO LINDO,1,30,27,0.9
1102,ESCUELA BASICA BALDOMERO LILLO FIGUEROA,1,30,27,0.9
1042,ESCUELA MUNICIPAL COLLIGUAY,1,90,82,0.911
13465,ESCUELA BASICA JESUS NAZARENO,1,80,73,0.912
13312,ESCUELA PARTICULAR CHEPICA,1,12,11,0.917
735,ESCUELA LA QUIROGA,1,24,22,0.917
1064,ESCUELA BASICA EL QUELON,1,12,11,0.917
1062,ESC.PDTE.FEDERICO ERRAZURIZ ECHAURREN,1,24,22,0.917
948,ESCUELA BASICA LAS AGUILAS,1,25,23,0.92
949,ESCUELA EL DURAZNO DE QUILE,1,27,25,0.926
939,ESCUELA ALMENDRO DE QUILE,1,28,26,0.929
1117,ESCUELA PARTICULAR LOS TOMES,1,28,26,0.929
907,ESCUELA HIJOS DEL PERAL,1,58,54,0.931
1010,ESCUELA PARTICULAR CUYUNTAGUA,1,15,14,0.933
1116,ESCUELA PARTICULAR CANELILLA,1,30,28,0.933
996,ESCUELA PARTICULAR EL LANCO,1,15,14,0.933
1008,ESCUELA PARTICULAR QUILLAICILLO,1,30,28,0.933
1084,ESCUELA BASICA JABONERIA,1,30,28,0.933
963,ESCUELA PARTICULAR EL TENIENTE,1,15,14,0.933
1044,ESCUELA PARTICULAR MANQUEHUA,1,15,14,0.933
